Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,Duration,Volume_Mm3,DamHeight_m,YearCommissioned,Retrofit,lat,lon,projectID,YearDecommissioning
BE Bioenergy OCGT PPSgen collection BE1 0,Bioenergy,OCGT,,BE,31,,,,,2001,,5.377814207468392,50.468361211670626,BE-WASTE B,2041
BE Bioenergy OCGT PPSgen collection BE1 1,Bioenergy,OCGT,,BE,69,,,,,2001,,3.908929559914748,50.805496246244246,BE-WASTE B,2041
DE Bioenergy OCGT PPSgen collection DE1 0,Bioenergy,OCGT,,DE,1218,,,,,2012,,7.299752025036479,51.159739395314816,DE-BIO BDE-BIO CDE-BIO DDE-BIO NB1,2052
DE Bioenergy OCGT PPSgen collection DE1 1,Bioenergy,OCGT,,DE,1506,,,,,2012,,11.39708702360713,49.01387154398142,DE-BIO BDE-BIO CDE-BIO DDE-BIO NB1,2052
DE Bioenergy OCGT PPSgen collection DE1 2,Bioenergy,OCGT,,DE,918,,,,,2012,,12.773616064130824,52.32259673463379,DE-BIO BDE-BIO CDE-BIO DDE-BIO NB1,2052
DE Bioenergy OCGT PPSgen collection DE1 3,Bioenergy,OCGT,,DE,1527,,,,,2012,,8.708228022533826,49.09939227935999,DE-BIO BDE-BIO CDE-BIO DDE-BIO NB1,2052
DE Bioenergy OCGT PPSgen collection DE1 4,Bioenergy,OCGT,,DE,1229,,,,,2012,,9.534605184859796,52.71734175815827,DE-BIO BDE-BIO CDE-BIO DDE-BIO NB1,2052
DE OCGT OCGT PPSgen collection DE1 0,OCGT,OCGT,,DE,515,,,,,2003,,7.299752025036479,51.159739395314816,DE-CHPI ADE-CHPI A,2043
DE OCGT OCGT PPSgen collection DE1 1,OCGT,OCGT,,DE,637,,,,,2003,,11.39708702360713,49.01387154398142,DE-CHPI ADE-CHPI A,2043
DE OCGT OCGT PPSgen collection DE1 2,OCGT,OCGT,,DE,388,,,,,2003,,12.773616064130824,52.32259673463379,DE-CHPI ADE-CHPI A,2043
DE OCGT OCGT PPSgen collection DE1 3,OCGT,OCGT,,DE,645,,,,,2003,,8.708228022533826,49.09939227935999,DE-CHPI ADE-CHPI A,2043
DE OCGT OCGT PPSgen collection DE1 4,OCGT,OCGT,,DE,519,,,,,2003,,9.534605184859796,52.71734175815827,DE-CHPI ADE-CHPI A,2043
DE Waste CCGT PPSgen collection DE1 0,Waste,CCGT,,DE,212,,,,,2008,,7.299752025036479,51.159739395314816,DE-WASTE BDE-WASTE CDE-WASTE D,2048
DE Waste CCGT PPSgen collection DE1 1,Waste,CCGT,,DE,263,,,,,2008,,11.39708702360713,49.01387154398142,DE-WASTE BDE-WASTE CDE-WASTE D,2048
